ID;titre;ddes;genre;realisateur;description
;Beauté cachée;21/12/2016;drame;David Frankel;Suite à une terrible tragédie, un publicitaire new-yorkais à la réussite exemplaire sombre dans la dépression. Ses collègues échafaudent alors un stratagème radical pour l'obliger à affronter sa souffrance de manière inattendue…
;sept vies;14/01/2009;drame;Gabriele Muccino;Hanté par un secret, Ben Thomas cherche sa rédemption en transformant radicalement la vie de sept personnes qu'il ne connaît pas. Une fois son plan mis en place, plus rien ne pourra l'arrêter. C'est tout du moins ce qu'il croit. Mais Ben n'avait pas prévu qu'il tomberait amoureux de l'une de ces personnes et que c'est elle qui va le transformer...
;je suis une légende;19/12/2007;drame/thriller;Francis Lawrence;Robert Neville était un brillant scientifique, mais même lui n'a pu endiguer le terrible virus - créé de la main de l'homme - qui a dévasté la race humaine. Pour une raison inconnue, Neville est immunisé et reste à ce jour le dernier être humain vivant dans ce qui reste de New York et peut-être du monde. Depuis trois ans, il envoie des messages de détresse à qui voudra bien l'entendre.
;La route;02/12/2009;drame/films de science fiction;John Hillcoat;Créé par Joe Penhall. D'après l'oeuvre de Cormac McCarthy. Musique de Nick Cave. Il y a maintenant plus de dix ans que le monde a explosé. Personne ne sait ce qui s'est passé. Ceux qui ont survécu se souviennent d'un gigantesque éclair aveuglant, et puis plus rien. Plus d'énergie, plus de végétation, plus de nourriture. Les derniers survivants rôdent dans un monde dévasté et couvert de cendre qui n'est plus que l'ombre de ce qu'il fut.
;Le livre d'Eli;20/01/2010;drame/thriller;Albert Hughes, Allen Hughes;Un guerrier solitaire fait face à de multiples dangers tandis qu'il ramène l'espoir dans les terres dévastées d'une Amérique post-apocalyptique.
;Mad Max;14/05/2015;action/science/ fiction;Gearge Miller, George Ogilvie;Mad Max est une série de films d'action et de science-fiction australienne réalisé par George Miller. Seul le troisième film est mis en scène par deux réalisateurs, Miller et George Ogilvie. La saga renaît 30 ans plus tard avec un 4? opus, toujours dirigé par Miller
;Princesse Mononoké;12/01/2000;animé/ drame/fantasy;Hayao Miyasaki;Ashitaka, un jeune guerrier japonais, affronte un sanglier géant et furieux qui attaque son village. Il tue la bête, mais se retrouve atteint par un mal mystérieux. Sur le conseil des sages, il part vers l'Ouest, à la recherche de ce qui a transformé l'animal en démon. Au cours de son périple, il rencontre San, une jeune fille qui vit avec les loups. Ashitaka apprend que les humains sont à l'origine de tous ces maux, car ils détruisent la forêt, qu'ils exploitent pour alimenter leurs forges.
;Ip man;12/12/2008;drame/sport;Wilson Yip ;La biographie de Ip Man. Dans les années 30, il vit à Foshan dans le sud de la Chine, lors de l'occupation japonaise. Face à ses indéniables talents en matière d'arts martiaux, les Japonais lui demandent d'entraîner les soldats, ce qu'il refuse catégoriquement. Il va alors devoir lutter pour sa survie.
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
